A photo of a brown saddle on a horse with silver buckles, in a white background
An image of a black leather saddle with intricate stitching, in a white background
A real photo of a Western-style saddle with a high backrest, in a white background
A photography of a vintage saddle with worn-out leather, in a white background
An illustration of a miniature saddle designed for a child's toy horse, in a white background
A photo of a white saddle adorned with colorful floral patterns, in a white background
An image of a sleek and modern synthetic saddle in bright red, in a white background
A real photo of a heavy-duty endurance saddle for long-distance riding, in a white background
A photography of a traditional English saddle in rich chestnut brown, in a white background
An illustration of a Western barrel racing saddle with silver conchos, in a white background
A photo of a small pony saddle in vibrant pink with a unicorn motif, in a white background
An image of a classic dressage saddle made of smooth black leather, in a white background
A real photo of a child-sized saddle with adjustable stirrups, in a white background
A photography of a lightweight trail saddle with built-in saddlebags, in a white background
An illustration of a decorative Arabian show saddle with ornate silver trim, in a white background
A photo of a vintage military cavalry saddle with brass fittings, in a white background
An image of a custom-made saddle with the rider's initials embossed, in a white background
A real photo of a Spanish-style saddle with a high, curved pommel, in a white background
A photography of a miniature Western saddle designed for a doll, in a white background
An illustration of a treeless saddle made of synthetic materials, in a white background
A real photo of a brown saddle on a white horse, in a white background
An image of a vintage leather saddle with intricate tooling, in a white background
A photography of a black saddle with silver accents on a chestnut horse, in a white background
An illustration of a Western saddle with a turquoise trim, in a white background
A photo of a child-sized pink saddle on a pony, in a white background
An image of a Western roping saddle with a high back and a deep seat, in a white background
A photography of a dressage saddle in a rich mahogany color, in a white background
An illustration of a synthetic endurance saddle in vibrant orange, in a white background
A real photo of a miniature saddle for a toy horse, in a white background
An image of a barrel racing saddle with colorful floral embroidery, in a white background
A photography of a black and white zebra print saddle on a black horse, in a white background
An illustration of a pony saddle in a cheerful rainbow pattern, in a white background
A photo of a vintage side saddle with a velvet seat, in a white background
An image of a show jumping saddle in sleek black leather, in a white background
A photography of a lightweight trail saddle with a built-in saddle bag, in a white background
An illustration of a children's saddle adorned with glitter and stars, in a white background
A real photo of a brown suede western saddle on a buckskin horse, in a white background
An image of a dressage saddle with a deep seat and long knee rolls, in a white background
A photography of a black synthetic all-purpose saddle, in a white background
An illustration of a show saddle with silver conchos and tooling, in a white background
A photo of a brown saddle on a white horse, in a white background
An image of a black saddle with silver accents on a chestnut horse, in a white background
A real photo of a small saddle on a pony, in a white background
A photography of a vintage saddle with intricate embroidery on a gray horse, in a white background
An illustration of a Western saddle with fringe and conchos on a buckskin horse, in a white background
A photo of a leather saddle with a high cantle on a bay horse, in a white background
A real photo of a child-sized saddle on a dappled gray pony, in a white background
An image of a sleek black saddle on a black Friesian horse, in a white background
A photography of a dressage saddle with a deep seat on a chestnut warmblood, in a white background
An illustration of a colorful saddle pad with a pattern on a paint horse, in a white background
